"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2024","29,740.58","29,325.20","29,740.58","29,325.20","102.62M","1.42%"
"12/30/2024","29,325.20","29,594.48","29,700.82","29,237.94","97.65M","-0.91%"
"12/29/2024","29,594.48","29,957.97","30,033.84","29,594.48","71.23M","-1.21%"
"12/26/2024","29,957.97","30,005.00","30,039.60","29,937.24","53.51M","-0.16%"
"12/25/2024","30,005.00","29,973.15","30,164.71","29,973.15","90.65M","0.11%"
"12/24/2024","29,973.15","30,118.38","30,165.45","29,810.40","64.74M","-0.48%"
"12/23/2024","30,118.38","30,372.70","30,443.89","30,118.38","88.37M","-0.84%"
"12/22/2024","30,372.70","30,526.71","30,626.63","30,372.70","49.70M","-0.50%"
"12/19/2024","30,526.71","30,503.07","30,528.42","30,211.82","94.12M","0.08%"
"12/18/2024","30,503.07","30,601.64","30,807.41","30,452.01","81.08M","-0.32%"
"12/17/2024","30,601.64","30,799.43","30,932.81","30,601.64","87.93M","-0.64%"
"12/16/2024","30,799.43","30,776.00","30,918.19","30,682.68","99.17M","0.08%"
"12/15/2024","30,776.00","30,795.09","30,835.57","30,621.08","87.50M","-0.06%"
"12/12/2024","30,795.09","30,739.26","30,879.01","30,739.26","68.91M","0.18%"
"12/11/2024","30,739.26","30,617.83","30,807.78","30,581.63","83.31M","0.40%"
"12/10/2024","30,617.83","31,005.12","31,067.10","30,617.83","98.94M","-1.25%"
"12/09/2024","31,005.12","31,060.51","31,185.24","30,977.11","143.14M","-0.18%"
"12/08/2024","31,060.51","30,839.57","31,232.73","30,839.57","120.19M","0.72%"
"12/05/2024","30,839.57","30,832.61","31,035.14","30,824.25","112.52M","0.02%"
"12/04/2024","30,832.61","30,628.74","31,005.17","30,628.74","123.61M","0.67%"
"12/03/2024","30,628.74","30,525.32","30,642.46","30,525.32","101.68M","0.34%"
"12/02/2024","30,525.32","30,497.13","30,675.44","30,429.45","147.14M","0.09%"
"12/01/2024","30,497.13","30,242.13","30,502.15","30,242.13","111.27M","0.84%"
"11/28/2024","30,242.13","29,846.04","30,242.13","29,763.65","66.35M","1.33%"
