"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2024","14,773.19","14,719.22","14,797.08","14,719.15","","0.37%"
"12/30/2024","14,719.22","14,648.53","14,752.99","14,620.87","","0.48%"
"12/27/2024","14,648.53","14,654.88","14,699.39","14,595.38","","-0.04%"
"12/26/2024","14,654.88","14,611.23","14,698.38","14,611.23","","0.30%"
"12/25/2024","14,611.23","14,634.58","14,686.28","14,596.95","","-0.16%"
"12/24/2024","14,634.58","14,720.44","14,762.79","14,621.77","","-0.58%"
"12/23/2024","14,720.44","14,721.45","14,776.54","14,680.37","","-0.01%"
"12/20/2024","14,721.45","14,724.00","14,767.36","14,666.65","","-0.02%"
"12/19/2024","14,724.00","14,769.95","14,851.09","14,711.98","","-0.31%"
"12/18/2024","14,769.95","14,775.40","14,843.77","14,769.95","","-0.04%"
"12/17/2024","14,775.40","14,703.51","14,929.68","14,703.07","","0.49%"
"12/16/2024","14,703.51","14,704.81","14,794.00","14,682.63","","-0.01%"
"12/13/2024","14,704.81","14,677.92","14,730.27","14,651.35","","0.18%"
"12/12/2024","14,677.92","14,698.63","14,768.01","14,664.40","","-0.14%"
"12/11/2024","14,698.63","14,694.49","14,762.27","14,657.57","","0.03%"
"12/10/2024","14,694.94","14,798.42","14,819.03","14,692.31","","-0.70%"
"12/09/2024","14,798.42","14,762.43","14,798.42","14,722.49","","0.24%"
"12/06/2024","14,762.43","14,881.52","14,889.84","14,744.53","","-0.80%"
"12/05/2024","14,881.52","14,749.59","14,883.79","14,720.33","","0.89%"
"12/04/2024","14,749.59","14,728.12","14,805.96","14,706.89","","0.15%"
"12/03/2024","14,728.12","14,718.91","14,756.72","14,689.92","","0.06%"
"12/02/2024","14,718.91","14,837.22","14,853.29","14,710.72","","-0.80%"
"11/29/2024","14,837.22","14,888.31","14,946.22","14,822.59","","-0.34%"
"11/28/2024","14,888.31","14,901.08","14,964.95","14,860.24","","-0.09%"
"11/27/2024","14,901.08","14,811.74","14,904.04","14,791.26","","0.60%"
"11/26/2024","14,811.74","14,718.68","14,842.40","14,718.68","","0.63%"
"11/25/2024","14,718.68","14,886.65","14,940.51","14,687.03","","-1.13%"
"11/22/2024","14,886.65","14,868.14","14,897.19","14,841.27","","0.12%"
"11/21/2024","14,868.14","14,986.56","15,048.73","14,868.14","","-0.79%"
"11/20/2024","14,986.56","14,976.79","15,050.12","14,958.70","","0.07%"
"11/19/2024","14,976.79","14,862.45","15,015.68","14,856.32","","0.77%"
"11/15/2024","14,862.45","14,751.03","14,881.50","14,731.03","","0.76%"
"11/14/2024","14,751.03","14,678.10","14,769.65","14,678.10","","0.50%"
"11/13/2024","14,678.10","14,650.02","14,742.72","14,612.38","","0.19%"
"11/12/2024","14,650.02","14,691.26","14,765.94","14,634.02","","-0.28%"
"11/11/2024","14,691.26","14,663.22","14,714.95","14,646.44","","0.19%"
"11/08/2024","14,663.22","14,487.67","14,699.28","14,483.64","","1.21%"
"11/07/2024","14,487.67","14,296.93","14,503.68","14,296.93","","1.33%"
"11/05/2024","14,296.93","14,300.12","14,335.69","14,260.02","","-0.02%"
"11/04/2024","14,300.12","14,269.96","14,300.12","14,219.39","","0.21%"
"11/01/2024","14,269.96","14,168.10","14,269.96","14,168.10","","0.72%"
"10/31/2024","14,168.10","14,182.32","14,214.06","14,163.09","","-0.10%"
"10/30/2024","14,182.32","14,247.73","14,291.15","14,175.02","","-0.46%"
"10/29/2024","14,247.73","14,211.68","14,270.89","14,182.54","","0.25%"
"10/28/2024","14,211.68","14,181.53","14,283.05","14,179.42","","0.21%"
"10/25/2024","14,181.53","14,138.37","14,195.21","14,118.42","","0.31%"
"10/24/2024","14,138.37","14,118.36","14,175.61","14,105.92","","0.14%"
"10/23/2024","14,118.36","14,085.27","14,126.57","14,029.16","","0.23%"
"10/22/2024","14,085.27","14,080.13","14,096.05","14,021.09","","0.04%"
"10/21/2024","14,080.13","14,080.57","14,143.88","14,054.96","","0.00%"
"10/18/2024","14,080.57","14,125.25","14,219.87","14,054.98","","-0.32%"
"10/17/2024","14,125.25","13,834.74","14,125.25","13,833.55","","2.10%"
"10/16/2024","13,834.74","13,939.72","13,941.55","13,795.07","","-0.75%"
"10/15/2024","13,939.72","14,048.66","14,057.34","13,935.90","","-0.78%"
"10/14/2024","14,048.66","14,101.61","14,170.38","14,029.90","","-0.38%"
"10/11/2024","14,101.61","14,102.73","14,110.60","14,046.78","","-0.01%"
"10/10/2024","14,102.73","14,148.99","14,202.03","14,096.07","","-0.33%"
"10/09/2024","14,148.99","14,019.63","14,161.17","14,019.63","","0.92%"
"10/08/2024","14,019.63","14,156.87","14,169.93","14,019.63","","-0.97%"
"10/07/2024","14,156.87","14,167.03","14,220.98","14,139.54","","-0.07%"
"10/04/2024","14,167.03","14,154.97","14,239.63","14,152.11","","0.09%"
"10/03/2024","14,154.97","14,024.58","14,190.07","14,024.58","","0.93%"
"10/02/2024","14,024.58","14,201.37","14,224.82","13,959.67","","-1.24%"
"10/01/2024","14,201.37","14,372.84","14,441.89","14,196.22","","-1.19%"
"09/30/2024","14,372.84","14,449.05","14,519.38","14,372.84","","-0.53%"
"09/27/2024","14,449.05","14,370.64","14,463.48","14,359.99","","0.55%"
"09/26/2024","14,370.64","14,282.71","14,391.79","14,281.39","","0.62%"
"09/25/2024","14,282.71","14,193.30","14,286.74","14,193.30","","0.63%"
"09/24/2024","14,193.30","14,269.55","14,409.24","14,183.46","","-0.53%"
"09/23/2024","14,269.55","14,246.86","14,290.89","14,201.40","","0.16%"
"09/20/2024","14,246.86","14,184.33","14,283.90","14,184.33","","0.44%"
"09/19/2024","14,184.33","14,087.58","14,230.18","14,087.58","","0.68%"
